2020-08-06 22:38:14 startup archives install
2020-08-06 22:38:15 install base-passwd:arm64 <none> 3.5.44
2020-08-06 22:38:15 status half-installed base-passwd:arm64 3.5.44
2020-08-06 22:38:15 status unpacked base-passwd:arm64 3.5.44
2020-08-06 22:38:15 status unpacked base-passwd:arm64 3.5.44
2020-08-06 22:38:15 configure base-passwd:arm64 3.5.44 3.5.44
2020-08-06 22:38:15 status unpacked base-passwd:arm64 3.5.44
2020-08-06 22:38:15 status half-configured base-passwd:arm64 3.5.44
2020-08-06 22:38:15 status installed base-passwd:arm64 3.5.44
2020-08-06 22:38:15 startup archives install
2020-08-06 22:38:15 install base-files:arm64 <none> 10.1ubuntu2
2020-08-06 22:38:15 status half-installed base-files:arm64 10.1ubuntu2
2020-08-06 22:38:15 status unpacked base-files:arm64 10.1ubuntu2
2020-08-06 22:38:15 status unpacked base-files:arm64 10.1ubuntu2
2020-08-06 22:38:15 configure base-files:arm64 10.1ubuntu2 10.1ubuntu2
2020-08-06 22:38:15 status unpacked base-files:arm64 10.1ubuntu2
2020-08-06 22:38:15 status unpacked base-files:arm64 10.1ubuntu2
2020-08-06 22:38:15 status unpacked base-files:arm64 10.1ubuntu2
2020-08-06 22:38:15 status unpacked base-files:arm64 10.1ubuntu2
2020-08-06 22:38:15 status unpacked base-files:arm64 10.1ubuntu2
2020-08-06 22:38:15 status unpacked base-files:arm64 10.1ubuntu2
2020-08-06 22:38:15 status unpacked base-files:arm64 10.1ubuntu2
2020-08-06 22:38:15 status unpacked base-files:arm64 10.1ubuntu2
2020-08-06 22:38:15 status unpacked base-files:arm64 10.1ubuntu2
2020-08-06 22:38:15 status unpacked base-files:arm64 10.1ubuntu2
2020-08-06 22:38:16 status unpacked base-files:arm64 10.1ubuntu2
2020-08-06 22:38:16 status unpacked base-files:arm64 10.1ubuntu2
2020-08-06 22:38:16 status unpacked base-files:arm64 10.1ubuntu2
2020-08-06 22:38:16 status half-configured base-files:arm64 10.1ubuntu2
2020-08-06 22:38:16 status installed base-files:arm64 10.1ubuntu2
2020-08-06 22:38:17 startup archives install
2020-08-06 22:38:17 upgrade dpkg 1.19.0.5ubuntu2 1.19.0.5ubuntu2
2020-08-06 22:38:17 status half-configured dpkg 1.19.0.5ubuntu2
2020-08-06 22:38:17 status unpacked dpkg 1.19.0.5ubuntu2
2020-08-06 22:38:17 status half-installed dpkg 1.19.0.5ubuntu2
2020-08-06 22:38:17 status half-installed dpkg 1.19.0.5ubuntu2
2020-08-06 22:38:17 status unpacked dpkg:arm64 1.19.0.5ubuntu2
2020-08-06 22:38:17 status unpacked dpkg:arm64 1.19.0.5ubuntu2
2020-08-06 22:38:17 configure dpkg:arm64 1.19.0.5ubuntu2 1.19.0.5ubuntu2
2020-08-06 22:38:17 status unpacked dpkg:arm64 1.19.0.5ubuntu2
2020-08-06 22:38:17 status unpacked dpkg:arm64 1.19.0.5ubuntu2
2020-08-06 22:38:17 status unpacked dpkg:arm64 1.19.0.5ubuntu2
2020-08-06 22:38:18 status unpacked dpkg:arm64 1.19.0.5ubuntu2
2020-08-06 22:38:18 status unpacked dpkg:arm64 1.19.0.5ubuntu2
2020-08-06 22:38:18 status unpacked dpkg:arm64 1.19.0.5ubuntu2
2020-08-06 22:38:18 status half-configured dpkg:arm64 1.19.0.5ubuntu2
2020-08-06 22:38:18 status installed dpkg:arm64 1.19.0.5ubuntu2
2020-08-06 22:38:18 startup archives install
2020-08-06 22:38:18 install libc6:arm64 <none> 2.27-3ubuntu1
2020-08-06 22:38:18 status half-installed libc6:arm64 2.27-3ubuntu1
2020-08-06 22:38:20 status unpacked libc6:arm64 2.27-3ubuntu1
2020-08-06 22:38:20 status unpacked libc6:arm64 2.27-3ubuntu1
2020-08-06 22:38:20 configure libc6:arm64 2.27-3ubuntu1 2.27-3ubuntu1
2020-08-06 22:38:20 status unpacked libc6:arm64 2.27-3ubuntu1
2020-08-06 22:38:20 status unpacked libc6:arm64 2.27-3ubuntu1
2020-08-06 22:38:20 status half-configured libc6:arm64 2.27-3ubuntu1
2020-08-06 22:38:21 status installed libc6:arm64 2.27-3ubuntu1
2020-08-06 22:38:21 startup archives install
2020-08-06 22:38:21 install perl-base:arm64 <none> 5.26.1-6
2020-08-06 22:38:21 status half-installed perl-base:arm64 5.26.1-6
2020-08-06 22:38:23 status unpacked perl-base:arm64 5.26.1-6
2020-08-06 22:38:23 status unpacked perl-base:arm64 5.26.1-6
2020-08-06 22:38:23 configure perl-base:arm64 5.26.1-6 5.26.1-6
2020-08-06 22:38:23 status unpacked perl-base:arm64 5.26.1-6
2020-08-06 22:38:23 status half-configured perl-base:arm64 5.26.1-6
2020-08-06 22:38:23 status installed perl-base:arm64 5.26.1-6
2020-08-06 22:38:23 startup archives install
2020-08-06 22:38:23 install mawk:arm64 <none> 1.3.3-17ubuntu3
2020-08-06 22:38:23 status half-installed mawk:arm64 1.3.3-17ubuntu3
2020-08-06 22:38:23 status unpacked mawk:arm64 1.3.3-17ubuntu3
2020-08-06 22:38:23 status unpacked mawk:arm64 1.3.3-17ubuntu3
2020-08-06 22:38:23 configure mawk:arm64 1.3.3-17ubuntu3 1.3.3-17ubuntu3
2020-08-06 22:38:23 status unpacked mawk:arm64 1.3.3-17ubuntu3
2020-08-06 22:38:23 status half-configured mawk:arm64 1.3.3-17ubuntu3
2020-08-06 22:38:23 status installed mawk:arm64 1.3.3-17ubuntu3
2020-08-06 22:38:23 startup archives unpack
2020-08-06 22:38:23 upgrade base-files:arm64 10.1ubuntu2 10.1ubuntu2
2020-08-06 22:38:23 status half-configured base-files:arm64 10.1ubuntu2
2020-08-06 22:38:23 status unpacked base-files:arm64 10.1ubuntu2
2020-08-06 22:38:23 status half-installed base-files:arm64 10.1ubuntu2
2020-08-06 22:38:23 status half-installed base-files:arm64 10.1ubuntu2
2020-08-06 22:38:24 status unpacked base-files:arm64 10.1ubuntu2
2020-08-06 22:38:24 status unpacked base-files:arm64 10.1ubuntu2
2020-08-06 22:38:24 upgrade base-passwd:arm64 3.5.44 3.5.44
2020-08-06 22:38:24 status half-configured base-passwd:arm64 3.5.44
2020-08-06 22:38:24 status unpacked base-passwd:arm64 3.5.44
2020-08-06 22:38:24 status half-installed base-passwd:arm64 3.5.44
2020-08-06 22:38:24 status half-installed base-passwd:arm64 3.5.44
2020-08-06 22:38:24 status unpacked base-passwd:arm64 3.5.44
2020-08-06 22:38:24 status unpacked base-passwd:arm64 3.5.44
2020-08-06 22:38:24 install bash:arm64 <none> 4.4.18-2ubuntu1
2020-08-06 22:38:24 status half-installed bash:arm64 4.4.18-2ubuntu1
2020-08-06 22:38:24 status unpacked bash:arm64 4.4.18-2ubuntu1
2020-08-06 22:38:24 status unpacked bash:arm64 4.4.18-2ubuntu1
2020-08-06 22:38:24 install bsdutils:arm64 <none> 1:2.31.1-0.4ubuntu3
2020-08-06 22:38:24 status half-installed bsdutils:arm64 1:2.31.1-0.4ubuntu3
2020-08-06 22:38:25 status unpacked bsdutils:arm64 1:2.31.1-0.4ubuntu3
2020-08-06 22:38:25 status unpacked bsdutils:arm64 1:2.31.1-0.4ubuntu3
2020-08-06 22:38:25 install coreutils:arm64 <none> 8.28-1ubuntu1
2020-08-06 22:38:25 status half-installed coreutils:arm64 8.28-1ubuntu1
2020-08-06 22:38:25 status unpacked coreutils:arm64 8.28-1ubuntu1
2020-08-06 22:38:25 status unpacked coreutils:arm64 8.28-1ubuntu1
2020-08-06 22:38:25 install dash:arm64 <none> 0.5.8-2.10
2020-08-06 22:38:25 status half-installed dash:arm64 0.5.8-2.10
2020-08-06 22:38:26 status unpacked dash:arm64 0.5.8-2.10
2020-08-06 22:38:26 status unpacked dash:arm64 0.5.8-2.10
2020-08-06 22:38:26 install debconf:all <none> 1.5.66
2020-08-06 22:38:26 status half-installed debconf:all 1.5.66
2020-08-06 22:38:26 status unpacked debconf:all 1.5.66
2020-08-06 22:38:26 status unpacked debconf:all 1.5.66
2020-08-06 22:38:26 install debianutils:arm64 <none> 4.8.4
2020-08-06 22:38:26 status half-installed debianutils:arm64 4.8.4
2020-08-06 22:38:26 status unpacked debianutils:arm64 4.8.4
2020-08-06 22:38:26 status unpacked debianutils:arm64 4.8.4
2020-08-06 22:38:26 install diffutils:arm64 <none> 1:3.6-1
